23.58318,0.5517465,2.771
23.6099,0.2468812,1.932
23.64313,0.3286457,0.9540001
23.66884,0.9999436,0.6299999
23.69477,0.5699641,0.7610001
23.72056,0.8336896,0.9540001
23.74571,1.559463,1.331
23.77235,2.354078,1.815
23.79781,3.49046,3.816
23.82378,4.355768,5.191
23.84937,5.62434,5.582
23.87571,4.287345,5.898
23.90142,3.866753,5.788
23.92917,3.528988,5.327
23.9595,3.66297,4.218
23.9855,1.073774,2.717
24.01171,0.3365904,2.106
24.03981,0.8118457,1.515
24.06559,0.8006555,0.6299999
24.09138,0.5419993,0.7610001
24.12325,0.5719113,0.6299999
24.14822,1.052547,0.6299999
24.17444,1.815121,1.393
24.19976,2.259471,1.815
24.22623,3.234867,3.387
24.25158,4.542586,4.132
24.27801,5.818414,5.327
24.30283,5.799901,5.844
24.33047,4.298948,5.672
24.35556,3.82041,5.457
24.38069,3.703605,4.827
24.40584,2.95559,3.581
24.43098,2.172525,2.333
24.45651,0.8022916,1.991
24.48167,0.9259468,1.269
24.50891,0.8683437,0.89
24.534,0.63519,0.6950001
24.55956,1.007406,1.515
24.59066,1.967025,1.454
24.61619,2.565742,1.991
24.64353,3.445893,3.485
24.66909,4.466377,3.908
24.69453,5.669498,5.327
24.71989,6.000488,5.951
24.74665,4.63626,6.102
24.77176,4.334219,5.731
24.79969,3.952379,4.903
24.82561,3.117907,4.471
24.85113,2.268441,3.629
24.87668,1.527003,2.049
24.90242,0.5956757,1.393
24.92752,0.5190825,1.017
24.95639,0.6051385,0.564
24.98252,0.6447172,0.6299999
25.00748,0.8130848,0.7610001
25.03275,1.135116,0.89
25.0645,2.253195,1.636
25.08994,3.354934,2.445
25.11682,4.454631,4.304
25.14213,5.334973,5.05
25.16739,6.351552,5.788
25.19457,4.589565,5.788
25.21947,3.572981,5.552
25.24625,3.426265,4.865
25.27249,3.544121,4.132
25.29775,2.712121,2.771
25.32301,0.6195474,1.636
25.35395,0.9929001,1.207
25.38559,1.09771,0.9540001
25.41175,0.824495,1.393
25.43705,1.490477,1.017
25.46245,1.751906,1.081
25.48707,2.068815,1.636
25.51442,2.8256,3.033
25.5398,3.610758,3.187
25.5644,4.378298,4.512
25.5901,5.382576,5.05
25.61511,6.256411,5.582
25.64058,3.654773,5.552
25.6657,3.274033,5.05
25.69355,3.826713,4.132
25.71985,2.976732,3.581
25.74505,0.8988994,3.136
25.77067,0.4194814,1.454
25.79569,1.173939,1.144
25.82127,1.047236,0.6299999
25.85182,0.7625842,0.825
25.87785,1.069643,1.017
25.90367,1.546401,1.017
25.92964,2.055806,1.815
25.955,3.038433,2.164
25.97976,3.860605,3.287
26.00629,4.65853,3.953
26.03162,5.814932,5.52
26.05762,5.880067,5.702
26.08419,4.489556,5.731
26.11104,4.156708,5.36
26.13644,3.949445,4.471
26.16323,2.466216,3.953
26.18856,1.76823,2.877
26.21404,0.8913195,4.553
26.23977,0.8782518,1.144
26.26563,0.6602848,0.564
26.29125,0.5424446,0.498
26.32434,0.6867743,0.2979999
26.35004,0.856365,0.9540001
26.37595,1.349044,3.953
26.40135,1.884354,1.269
26.42691,2.931016,2.277
26.45302,4.045925,4.512
26.47944,4.760476,4.43
26.50495,5.886435,5.425
26.5303,6.101765,5.702
26.55583,4.100336,5.613
26.58081,3.811521,5.425
26.60993,3.758209,4.471
26.63525,2.768093,3.337
26.66084,1.151891,5.121
26.68624,0.5829513,1.454
26.71236,0.608443,3.237
26.74133,0.2769542,0.6299999
26.76723,0.2215451,0.7610001
26.79754,0.4012156,0.09400006
26.82342,0.7465661,0.2299999
26.84912,1.347504,0.432
26.87714,1.991358,1.207
26.90271,2.641144,2.445
26.92893,3.607416,3.581
26.9541,5.087263,4.751
26.97995,5.888639,5.293
27.00502,4.375187,6.053
27.0336,4.070907,5.457
27.05934,4.0028,4.633
27.08598,3.739504,3.953
27.11169,2.318083,2.389
27.13823,0,1.393
27.16349,0,0.365
27.19134,0,-0.322
27.218,0.02778232,-0.322
27.24426,0,-0.322
27.2754,0.4079801,0.09400006
27.30135,0.9549254,0.2299999
27.32765,1.481293,1.393
27.35242,2.366829,1.756
